Артикул;Название;Цена
640504993;Ноутбук игровой Vector 17 HX AI A2XWJG-099XRU (9S7-17S372-09 MSI;302888
684352087;Ноутбук игровой Vector 17 HX AI A2XW MSI;207125
428698421;Ноутбук игровой Vector 17 HX AI A2XWIG MSI;245900
955459595;"Ноутбук Katana 17 B2RVEK 17.3"" Intel 5 16Gb SSD1Tb RTX4050 MSI";93369
1102151618;Ноутбук Prestige 13 AI+ A3MG-046RU (9S7-13Q425) MSI;136358
968702307;Ноутбук игровой Stealth 16 AI A2HWFG-086XRU (9S7-15F535) MSI;153229
1044726082;Ноутбук игровой Pulse A16 AI+ C3HWGKG-030XRU (9S7-15PK11-030 MSI;148508
497398643;"Ноутбук Crosshair A16 D8WGKG 16"" Ryzen 7 32Gb SSD1Tb RTX5070 MSI";144307
1052090132;Ноутбук игровой Cyborg 15 Max C2WG-013XRU MSI;126257
972242146;"Ноутбук Cyborg 15 C2WF 15.6"" Intel 7 16Gb SSD1Tb RTX5060 MSI";110719
823122975;"Ноутбук Cyborg 17 B2RWFKG 17.3"" Intel 5 16Gb SSD1Tb RTX5060 MSI";104687
1099232297;Ноутбук игровой Cyborg 15 C2WE-016XRU (9S7-15T121) MSI;99085
846158116;Ноутбук игровой Cyborg 17 B2RWFKG-283XRU MSI;111505
972331334;Ноутбук игровой Cyborg 15 C2WE-017XRU MSI;119183
823121744;Ноутбук игровой Cyborg 17 B2RWEKG-280XRU MSI;104427
923975611;"Ноутбук для работы и учебы мощный 15,6"" IPS 16 512 GB Compolis";36389
708494375;"Ноутбук игровой RBA-2810 18.5"" IPS, Ryzen 5 6x2.3GH, 32Gb, 5… AZERTY";67103
995429910;"Ноутбук для работы и учебы 15,6"" IPS 16GB SSD 512Gb ";37667
401796456;"Ноутбук для работы и учебы 15,6"" IPS 16 ГБ SSD 512 ГБ VELTRON";38651
1139370687;"Ноутбук RB-1559 15.6"", Intel N5095, 16Gb SSD 128Gb + HDD 1Tb AZERTY";34980
684148235;Ноутбук игровой Katana 17 B13UCR-1612XRU (9S7-17L541-1612) MSI;79455
957182649;Ноутбук Modern 15 F1MG-1072XRU (9S7-15S111-1072) MSI;51077
1163108362;Ноутбук Modern 16S AI+ G3MG-012XRU MSI;80161
949563012;Ноутбук игровой Raider 16 HX AI A2XWHG-814XRU (9S7-15M361-81 MSI;175398
684352722;Ноутбук игровой Stealth 16 AI A2HWGG-085XRU MSI;163094
1056282660;Ноутбук игровой Cyborg 15 C2WF-015XRU MSI;100404
995780533;"Ноутбук для работы и учебы 15,6"" IPS 16GB SSD 512Gb ";43628
1163072326;Ноутбук Modern 14S AI+ G3MG-010XRU MSI;77107
401741349;Мощный ноутбук для работы и учебы 15,6 6 ядер 16Gb SSD 512Gb VELTRON;44098
1013110485;Ноутбук Megabook K15SDA AMD Ryzen 5 8 512 ГБ TECNO;37681
1013111269;Ноутбук Megabook K16SDA AMD Ryzen 5 8 512 ГБ TECNO;38412
860742766;Ноутбук Vivobook 15 X1504VA-BQ3122 Asus;46109
1007677184;"Ноутбук Thin 15 15.6"" i5-13420H 32GB 1TB RTX3050 W11Р MSI";86817
535292352;"Ноутбук 15.6"" Ryzen 5 3500U 16ГБ SSD 512 Vega 8 Windows Pro ";33042
1128665186;"Ноутбук для работы и учебы 15.6""i9 32 ГБ +2048ГБ ";20615
388705023;"Ноутбук для работы и учебы 15.6""N5095 16 ГБ +256ГБ ";24335
936727697;"Ноутбуки для работы и учебы 14"" RAM 6ГБ SSD 128 ГБ ";16863
388705024;"Ноутбук для работы и учебы 15.6""N5095 16 ГБ +512ГБ ";27551
490277164;"мощный Ноутбук для работы и учебы 14""3710 8 ГБ RAM+256 ГБ ";18785
1136059297;Ноутбук Ryzen 5 3500 16GB RAM 1TB SSD Windows 11 ;32560
883272846;"Ноутбук для работы и учебы 15,6"" 4-ядра IPS 8 ГБ SSD 256 ГБ XISEZIUO";24971
756164921;"Ноутбук для работы и учебы 15,6"" IPS 16 512 GB XISEZIUO";34020
632169745;"Ноутбук для учебы RB-1452 14"" IPS N95 16GB RAM, 256GB SSD AZERTY";33371
1101442987;"Ноутбук Cyborg 15 C2WE 15.6"" Core 7 240H 64GB 2TB MSI";186102
224511097;"Ноутбук для учебы и работы игровой 15.6""12GB DDR5, SSD 512GB MTX";28386
1149542490;"Ноутбук для работы и учебы 15.6""i9 32 ГБ +2048ГБ ";21494
576717014;Ноутбук A15 Pro, AMD Ryzen 5 5500U, 16 ГБ DDR4 + 512 ГБ SSD Ninkear;36587
1149542381;"Ноутбук для работы и учебы 15.6""i9 32 ГБ +2048ГБ ";21494
1124146573;Ноутбук A15 Air 15,6” AMD Ryzen 5 3500U, 16 ГБ + 512 ГБ SSD Ninkear;30430
1059686404;"Ноутбук A15Pro 15,6"" FHD, AMD Ryzen 5 5500U, 16 ГБ + 512 ГБ Ninkear";37743
657506200;"Мощный ноутбук для работы и учёбы Intel 15 6"" 16 512ГБ ";21450
1005359875;Ноутбук 32 ГБ + 2 ТБ для работы, учёбы и развлечений ;20640
270762735;"Ноутбук для работы и учебы Taganay 15,6"" IPS 16 512 GB Echips";29221
985711956;Megabook K15SFA 8Gb+512Gb, R5-7535HS 15.6'', Grey (серый) TECNO;40044
